name,category_code,short_description,status,founded_year,funding_rounds,funding_total_usd,country_code,cluster,x,y,traction_score
MoVoxx,mobile,MoVoxx is a mobile advertising company that tracks and aggregates mobile behavior to enable advanced targeting.,acquired,2006.0,1,0.0,USA,4,-0.09960208,-0.17483863,22.8
Fox Interactive Media,web,"Fox Interactive Media isa network of companies in the industry ofmedia; news, education, and information services.",operating,1979.0,0,0.0,USA,2,-0.123021685,0.0062550944,1.2
blinkbox,games_video,blinkbox is an online video company allowing users to stream and download movies and TV shows.,operating,2006.0,1,0.0,GBR,2,-0.118219666,-0.117667094,24.8
Gowalla,web,"Gowalla is a social guide for its users to share and discover photos, experiences and recommendations of places and cities.",acquired,2007.0,3,10400001.0,USA,2,-0.22547081,-0.09404156,56.4
Wix,web,"Wix is a DIY web publishing platform enabling its users to design, publish, maintain and host free websites using online drag-&-drop tools.",ipo,2006.0,4,58500000.0,ISR,2,-0.056993492,-0.07971183,62.6
StreetPrices.com,ecommerce,StreetPrices is an online price comparison service for consumer electronics offering a 'search by specs' tool and merchant ratings.,operating,1997.0,0,0.0,USA,5,-0.049247704,0.34254596,15.6
OnVantage,software,OnVantage provides corporate spend management and supplier marketing technology for the professional meetings and events market.,acquired,2004.0,1,18000000.0,USA,5,-0.03376522,0.1736058,50.9
SalesLoft,software,SalesLoft develops sales intelligence software that browses through social profiles to find potential customers for sales reps.,operating,2011.0,2,18000.0,USA,5,-0.20432061,0.2179237,48.2
iJukebox,music,DisruptiveApps develops software that gives retail shoppers the ability to request songs to be played atshopping venues when they visit.,operating,2010.0,3,2125000.0,USA,4,-0.25327355,-0.11714433,57.9
Unigo,education,"Unigo is an online college resource guide and student platform providing college information, reviews and other related content.",operating,2008.0,2,2000000.0,USA,2,0.031103462,0.08580356,54.2
PacketTrap Networks,software,PacketTrap Networks provides network and application management software solutions.,operating,2006.0,1,5500000.0,USA,1,-0.03561666,-0.022255754,52.4
Casacanda,fashion,Casacanda is an online shopping club that provides daily design inspirations.,acquired,2011.0,1,0.0,DEU,5,-0.11861526,0.051370345,26.8
DocLanding,enterprise,DocLanding is a SaaS-based document management solution for personal and professional use.,operating,2000.0,1,175000.0,USA,1,0.007970624,0.12292351,41.5
Klosetshop,ecommerce,Klosetshop is a virtual closet concept that provides a platform for users to access their entire clothing and accessory collection online.,closed,2011.0,1,30000.0,,5,-0.15568754,0.12823272,37.2
SocialTwist,software,"SocialTwist is a customer acquisition platform enabling brands, retailers and publishers to drive social referrals.",operating,2008.0,0,0.0,USA,2,-0.2059604,-0.030055549,24.4
Lantronix,hardware,Lantronix provides smart networking and communication solutions for machine-to-machine applications.,ipo,1989.0,1,4500000.0,USA,1,0.013688713,-0.066805705,38.5
Vertica Systems,software,Vertica Systems develops data management solutions for storing databasesand allowing clients to conduct real-time and ad hoc queries.,acquired,2005.0,3,30500000.0,USA,1,-0.065100186,0.034340683,56.7
vivio,web,TellmeTwin.com is an entertainment recommendation and review site connecting like-minded users and facilitating their interaction.,operating,2007.0,1,250000.0,USA,2,-0.15164128,-0.016909774,47.7
Verteego (Emerald Vision),enterprise,Verteego is an environmental management software technology designed to enhance the operational performance of businesses.,operating,2008.0,2,0.0,FRA,1,0.06967801,0.09133566,28.4
Exaprotect,security,Exaprotect provides security management for enterprises and service providers with large-scale andheterogeneous infrastructure.,acquired,2004.0,1,7660000.0,USA,1,0.08051436,0.08175677,49.4
Ford,automotive,"Ford is an automotive company manufacturing vehicles, parts and accessories, and providing automotive financing services.",ipo,1903.0,0,0.0,USA,3,0.15273967,0.23970626,-59.6
Toyota,enterprise,"Toyota designs and manufactures automobiles ranging from subcompacts to luxury and sports vehicles, trucks, minivans, and buses.",operating,1933.0,0,0.0,JPN,3,0.20333421,0.22930923,-35.6
Esri,software,"Esri offers geographic information system software, web GIS, and geodatabase management applications.",operating,1969.0,0,0.0,USA,1,0.025130764,0.11978686,-6.8
Club Scene Network,games_video,"Club Scene Media Group is a niche social network for nightlife, entertainment and fashion.",closed,2004.0,1,225000.0,,2,-0.24134755,0.016458668,35.1
CityVoter,web,CityVoter isan online media company running localized social media promotionsfor geo-targeted communities.,operating,2005.0,2,4180000.0,USA,2,-0.32777214,0.094402745,53.1
Trion Worlds,games_video,"Trion Worldsdevelops games and delivers social content across video game genres, gaming platforms and mass-market entertainment formats.",operating,2006.0,4,190120000.0,USA,2,-0.1668587,-0.08114635,64.7
Groupon,web,"Groupon provides merchants with a suite of products and services such as customizable deals, payment processes and point-of-sale solutions.",ipo,2008.0,7,1147288416.0,USA,5,-0.107295044,0.2595686,75.5
Rally.org,nonprofit,Rally is a social fundraising platform leveraging storytelling to help anyone with a cause connect with supporters and raise money.,operating,2009.0,2,7900000.0,USA,2,-0.16185036,0.008788433,57.5
Actacell,cleantech,ActaCell develops materials for lithium-ion battery applications and focuses on commercializing material development.,acquired,,3,9800000.0,USA,3,0.16486597,0.052271042,52.7
GameWager,web,"GameWager, an online games platform, supports PC games and enablesgamers to create and share new game-related content.",operating,2007.0,1,0.0,USA,2,-0.25703326,-0.14944309,25.6
iTaggit,web,iTaggit is a site that allows users to store and organize information about their items and collectibles.,closed,,2,1300000.0,USA,2,-0.21005589,0.011722466,39.1
YoYo Games,games_video,"YoYo Games provides Studio, a cross-platform game development technology that enables developers to create games in a single code base.",operating,2007.0,0,0.0,GBR,2,-0.0024456084,-0.08717557,23.6
Marakana,education,Marakana is an open-source training platform providing lessons on open source software solutions and agile practices for IT professionals.,acquired,2005.0,1,200000.0,USA,1,-0.02601602,0.05698564,43.7
PicApp,web,Picapp is a widget which online publishers can use to transform static images into a user engaging visual experience.,acquired,2008.0,1,3200000.0,USA,4,-0.13551179,-0.22233322,51.1
OrderWithMe,software,OrderWithMe aggregates orders of small businesses and offers discounts that are provided by suppliers for bulk orders.,operating,2011.0,2,9000000.0,USA,5,-0.091963865,0.27884966,59.3
Lumenergi,cleantech,Lumenergi is a provider of network-controlled lighting energy management solutions.,operating,2008.0,3,26400000.0,USA,3,0.032320894,-0.001472685,60.8
SEVEN Networks,software,SEVEN Networks develops mobile software solutions helping carriers and device manufacturers reduce network traffic.,operating,2000.0,2,62000000.0,USA,4,-0.011734828,-0.06162878,53.9
Cramster,web,"Cramsteroffers online homework and textbook helpfor college and high school students in areas such as math, science and business.",acquired,2002.0,2,9000000.0,USA,5,-0.101296075,0.15196514,50.1
BuzzStream,software,"BuzzStream is web-based software that helps marketers promote their products, services and content.",operating,2008.0,2,74996.0,USA,2,-0.13227847,-0.007945063,48.4
Big In Japan,mobile,Big in Japan is an online shopping store where customers can get all the information about the products.,operating,2008.0,1,700000.0,USA,5,-0.10240894,0.2038471,50.4
Finsphere,mobile,Finsphere uses mobile phone data and analytics to develop identity authentication instruments.,operating,2007.0,4,30700000.0,USA,4,-0.072260864,-0.12159891,62.3
Smule,music,"Smule is a developer of interactive sonic applications for the iPhone, iPad and iPod touch.",operating,2008.0,4,25500000.0,USA,4,-0.08127526,-0.19007495,62.8
Solicore,other,"Solicore manufactures thin and flexible lithium polymer batteries for powered cards, RFID and micro medical devices.",operating,,6,33325468.0,USA,3,0.25977165,-0.030562349,62.8
MP3Tunes,games_video,MP3Tunes is an online database that allows users to upload and store MP3 files in an online music locker.,operating,2005.0,0,0.0,USA,2,-0.17176032,-0.11377895,22.0
SMITH (formerly Ascentium),design,SMITH (formerly Ascentium) is an advertising agency that provides digital marketing and global e-commerce solutions.,operating,2001.0,1,0.0,USA,5,0.011776984,0.2635122,20.8
PCH International,hardware,PCH International offers sustainable product development and supply chain management services for a diverse range of businesses.,operating,1996.0,3,77000000.0,CHN,3,0.21352977,0.35826698,53.1
wesync.tv,mobile,"Wesync crowdsources, stitches and synchronizes photos and videos taken by different people at the same event.",closed,2011.0,1,100000.0,CHL,2,-0.1447427,-0.15737632,39.3
Modria,legal,"Modria is a scalable platform, built by resolution experts and leading technologists, that helps companies resolve customer complaints.",operating,2011.0,2,7500000.0,USA,1,0.0792291,0.032770112,59.0
StyleFeeder,ecommerce,"L'Fay Bridal is a buyer, distributor and designer of wedding dresses and attire.",acquired,2006.0,3,3500000.0,USA,5,0.054399613,0.24485874,53.6
Squrl,search,Squrl is a video search and recommendation engine.,closed,,1,550000.0,USA,2,-0.1953187,-0.09135677,35.5
Honey,enterprise,"Honey is an enterprise social network within the workplacewhere employees discover, discuss and archive important content.",operating,2012.0,1,1250000.0,USA,2,-0.095037095,0.050154418,54.6
SnackFeed,games_video,SnackFeed is a video recommendation site that aggregates and recommends videos based on the user's personal preferences.,operating,2008.0,1,0.0,,2,-0.25692436,-0.08734785,26.4
Navteq,software,"NAVTEQ develops digital map, traffic and location data for navigation and location-based platforms in North America and Europe.",acquired,1985.0,0,0.0,USA,4,-0.16774073,-0.07876004,4.0
Renren,social,Renren is an online social network service that provides an interactive communication platform for Chinese users.,ipo,,0,0.0,CHN,2,-0.10486513,-0.06713945,20.0
Mobivity,mobile,Mobivity provides mobile marketing tools for local advertisers and custom audience engagement solutions for sports and media producers.,operating,2006.0,1,10917805.0,USA,4,-0.2903837,-0.2297171,53.7
Radionomy,music,"Radionomy is a platform enabling to discover, listen and create online radio stations for people connected from around the world.",operating,2007.0,3,6000000.0,BEL,2,-0.16563582,-0.1966383,57.4
JayCut,enterprise,JayCut provides online video editing technology to companies.,acquired,1996.0,1,0.0,SWE,2,-0.060626067,-0.08583205,14.8
Firetide,mobile,"Firetide provides fixed and mobile wireless IP network infrastructure products that enable concurrent video, voice and data applications.",operating,2003.0,4,39790000.0,USA,4,-0.09002086,-0.22914422,59.6
Magnus Health,software,Magnus Health is web-based student medical record (SMR) solution provider for schools.,operating,2006.0,2,100000.0,USA,0,0.23242605,-0.11773532,47.3
Seamless North America,hospitality,Seamless North America is an online platform and smartphone app that allows customers to order food from preferred restaurants.,operating,,3,51000000.0,USA,5,-0.13569659,0.03395572,57.6
SDH Group,other,SDH Group strives to have a portfolio of companies focused on the sustainable reclamation of resources.,closed,2003.0,1,915000.0,USA,3,0.14418897,0.2646306,36.8
MyShape,ecommerce,MyShape.com is an online retail store specializing in customized tailoring.,closed,2003.0,4,28000000.0,USA,5,-0.008694723,0.18252963,48.9
RVE.SOL - Solucoes de Energia Rural,cleantech,"RVE.SOL creates alternative, renewable energy choices for the rural poor, enabling them to make use of natural resources.",operating,2010.0,2,459938.0,PRT,3,0.119417205,0.13705492,53.2
Intelligent Apps (mytaxi),mobile,"Intelligent Apps offers mytaxi, an app connecting users to taxi drivers, allowing a hassle free commuting system.",operating,2009.0,4,13017000.0,DEU,4,-0.15590242,-0.2386046,62.4
PlumChoice,consulting,"PlumChoice offers virtual tech support for eletronic devices such as PCs, digital cameras, iPods, MP3 players and wireless networking.",operating,2001.0,8,91953325.0,USA,1,0.007386662,-0.08865632,67.5
interspireSubmit,advertising,interspireSubmitwas an internet marketing company for small- and medium-sized businesses.,closed,2010.0,1,500000.0,,5,-0.1467124,0.22616933,41.4
Informed Medical Decisions,biotech,InformedDNA is a nationwide network of genetics experts providing personalized healthcare services via telephone.,operating,2007.0,1,7724807.0,USA,0,0.19442433,-0.15979764,53.8
BitGravity,network_hosting,BitGravity is a content delivery network optimized for on-demand video delivery and HD live streaming.,operating,2006.0,1,2500000.0,USA,2,-0.19041196,-0.10383561,51.0
Yuuguu,web,"Yuuguu enables users to securely share their screen with anyone at any time on PC, Mac and Linux.",operating,,1,1140000.0,,4,-0.11631533,-0.19907455,46.8
blueKiwi,enterprise,"bluekiwi, is a social business vendor enabling organizations to engage and interact with employees, partners, customers and web-influencers.",operating,2006.0,2,12300000.0,FRA,2,-0.078503646,0.0231445,55.9
Savings.com,web,Savings.com is an online savings website and community that enables shoppers to find and share savings from brands and stores.,operating,2007.0,4,10000000.0,USA,5,-0.16935712,0.16672632,60.3
Livingly Media,advertising,Livingly Media is an online publisher owning lifestyle and entertainment news sites.,operating,2006.0,2,15700000.0,USA,2,-0.18681258,-0.031515043,56.3
Buscatucancha.com,sports,Buscatucancha.comwas anonline reservation website for sport courts in Latin America.,closed,2010.0,1,25000.0,,5,-0.10380969,0.03242271,36.0
Tykoon,finance,"Tykoon is a social and personalized financial services platform enabling children to earn, save, give and spend money.",operating,,2,1830000.0,USA,5,-0.056983225,0.06648557,49.7
Wikets,ecommerce,Wikets is a social commerce app that allows users to rate products and share recommendations with others.,operating,,1,1500000.0,,2,-0.24288565,-0.086346366,47.3
"Innercircuit, Inc.",ecommerce,Innercircuit provides an innovative dependable option for property owners in collecting rent from tenants.,operating,2007.0,1,500000.0,USA,5,0.013274692,0.115372956,49.0
lynda.com,education,"lynda.com is an online learning company providing video tutorials to learn software, creative and business skills.",operating,1995.0,1,103000000.0,USA,2,-0.09557604,-0.0014472245,48.9
Artvalue.com,ecommerce,Artvalue.com provides free information and data on the art market.,operating,2002.0,1,124691.0,LUX,5,-0.08448159,0.1911759,42.5
NativeX,advertising,NativeX provides innovative monetization and user acquisition solutions for mobile and desktop apps.,operating,2000.0,2,0.0,USA,4,-0.1628156,-0.16883677,22.0
Gigya,enterprise,Gigyas Connected Consumer Management Suite enableslarge brands to closelyconnectwith mobile and socially connected consumers.,operating,2006.0,6,69800000.0,USA,5,-0.13505563,0.07228497,67.0
Twitter,social,"Twitter is a global real-time communications platform that enables users to post and read 'tweets,' text messages limited to 140 characters.",ipo,2006.0,8,1160166511.0,USA,2,-0.20395917,-0.17645821,76.0
TripUp,web,"TripUp is an interactive travel community enabling members to connect with others, share their travels, and access reviews.",closed,2006.0,0,0.0,USA,2,-0.20439076,-0.018586973,12.8
Sailthru,public_relations,Sailthru providespersonalized marketing communication technology that aggregates and analyzes disparate user data sets for enterprises.,operating,2008.0,3,28000000.0,USA,2,-0.25840974,0.103128284,60.9
DormNoise,web,DormNoise enabled college students to manage their college social life through a unique calendar system.,closed,,2,950000.0,USA,2,-0.054388814,-0.06792286,38.5
Cloudy.fr,enterprise,"Cloudy is a SaaS-based, fully automated online logbook for professional or private pilots.",operating,2011.0,1,32370.0,FRA,1,-0.024580441,-0.0014324295,47.3
Carma,transportation,Carma is a smartphone app enabling users to arrange carpools with the community.,operating,2007.0,3,10100000.0,IRL,4,-0.11104863,-0.22121644,58.3
Nexenta Systems,software,"Nexenta Systems offers NexentaStor, a platform delivering ultra-scalable, cloud and virtualization-optimized storage solutions.",operating,2005.0,4,49860000.0,USA,1,0.108729646,0.024849202,61.6
kooaba,mobile,Kooba develops cloud-based image recognition solutions that integrate state-of-the-art visual recognition in applications.,operating,2006.0,1,2920000.0,CHE,1,-0.03155405,-0.04883098,51.3
KillerStartups,web,"KillerStartups, a user driven internet startup community, enables businesses and bloggers to be informed of the latest internet startups.",operating,2007.0,1,250000.0,,2,-0.1693089,0.051044013,47.7
Tailgate Technologies,advertising,Tailgate Technologies offers advertising solutions for all stakeholders in the online advertising value chain.,closed,2007.0,1,0.0,GBR,5,-0.105125,0.23032233,15.6
SolFocus,cleantech,SolFocus is a manufacturer of solar energy systems based on concentrator photovoltaic (CPV) technology.,closed,2005.0,8,211403000.0,USA,3,0.20189652,0.07885054,62.1
Wakoopa,web,Wakoopa is a social networking site that monitors the software applications used by its members.,operating,2007.0,1,1000000.0,NLD,2,-0.08719576,-0.15708627,50.2
Sonosite,biotech,"Sonosite innovates, develops and commercializes ultrasound machines used in the clinical and pre-clinical markets.",acquired,1986.0,0,0.0,USA,0,0.4017033,-0.08994563,4.8
Netcontinuum,software,"NetContinuum provides web application firewalls, enabling application controllers to secure and manage enterprise web applications.",acquired,1999.0,1,15000000.0,USA,1,0.043005753,0.0268042,46.6
Vinfolio,ecommerce,"Vinfolio is an online wine store that buys, collects and sells various types of wines.",operating,2003.0,4,10600000.0,USA,5,-0.009934366,0.1428019,57.2
Johnson & Johnson,biotech,"Johnson & Johnson engages in the research and development, manufacture and sale of a range of products in the healthcare field.",ipo,,0,0.0,USA,0,0.3587469,0.15905762,20.0
Guardium,search,"Guardium, a database security company, delivers solutions to prevent information leaks and ensures the integrity of enterprise data.",acquired,2002.0,2,11800000.0,USA,1,0.13958755,0.10099814,50.6
Mybandstock,games_video,"MyBandStock isa platform for entertainment companies totrack, group and reward fans for online purchases.",closed,2009.0,1,0.0,USA,5,-0.21769482,0.113175295,17.2
Voxel (Internap),network_hosting,Voxel delivers on-demand hosting infrastructure services over its own IP network and provides afully-integrated content delivery network.,acquired,1999.0,1,5500000.0,USA,2,-0.14546767,0.042725433,44.8
my6sense,advertising,my6sense is a social networking app that brings relevant updates from the users' social networks based on their personal interests.,operating,2007.0,4,7500000.0,ISR,4,-0.23390895,-0.3041868,59.8
Infima Technologies,network_hosting,Infima Technologies develops network configuration management technologies.,closed,2006.0,2,630000.0,ISR,1,0.08105078,0.0030423538,40.6
DubMeNow,mobile,DubMeNow is a mobile software solution used to exchange business cards and instantaneously manage contact information.,closed,2008.0,4,7516703.0,USA,4,-0.06636972,-0.15591529,50.6
